Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Task,WMSF-222,10419,Cài đặt Recharts và vẽ Bar chart/Line chart xu hướng xuất/nhập trên Web,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,19/Apr/26 7:59 PM,08/May/26 10:17 AM,
Task,WMSF-221,10418,Dựng layout hiển thị 4-6 thẻ thống kê (Statistic Cards) trên Web Admin,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,19/Apr/26 7:59 PM,08/May/26 10:17 AM,
Task,WMSF-220,10417,Viết API báo cáo các mặt hàng có số lượng dưới mức cảnh báo (Low Stock),,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,19/Apr/26 7:59 PM,08/May/26 10:17 AM,
Task,WMSF-219,10416,Viết API đếm tổng số phiếu nhập/xuất và tổng sản phẩm trong ngày,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,19/Apr/26 7:58 PM,08/May/26 10:17 AM,
Task,WMSF-218,10415,Hiển thị Modal xác nhận số lượng thực lấy và submit gọi API trừ tồn kho,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 7:57 PM,20/Jun/26 8:05 PM,
Task,WMSF-217,10414,Tích hợp thư viện Haptic Feedback kích hoạt rung mạnh/âm báo khi quét sai mã trên Mobile,dung nguyentien,712020:1603fac4-982b-4df2-b1d2-dd62fc18f3f7,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 7:56 PM,20/Jun/26 8:06 PM,
Task,WMSF-216,10413,Tích hợp Camera quét mã Vị trí và Sản phẩm để đối chiếu với gợi ý trên Mobile,dung nguyentien,712020:1603fac4-982b-4df2-b1d2-dd62fc18f3f7,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 7:56 PM,20/Jun/26 8:06 PM,
Task,WMSF-215,10412,Dựng màn hình Picking List hiển thị lộ trình nhặt hàng FIFO trên Mobile,dung nguyentien,712020:1603fac4-982b-4df2-b1d2-dd62fc18f3f7,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 7:56 PM,20/Jun/26 8:05 PM,
Task,WMSF-214,10411,Viết logic DB kiểm tra chặt chẽ chặn số lượng tồn kho bị âm,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,19/Apr/26 7:56 PM,08/May/26 10:15 AM,
Task,WMSF-213,10410,Viết API Xác nhận nhặt hàng dùng Transaction để trừ tồn kho an toàn,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,19/Apr/26 7:56 PM,08/May/26 10:15 AM,
